Principio attivo;Confezione di riferimento;ATC;AIC;Confezione;Farmaco;Ditta;Prezzo riferimento SSN;Prezzo Pubblico 29 ottobre 2015;Differenza;Nota;Codice gruppo equivalenza
Aciclovir;100 ML 8% - USO ORALE;J05AB01;28425039;1 FLACONE SOSPENSIONE OS 8% 100 ML;NEVIRAN;S.F. GROUP S.R.L.;  13,90;  13,90;  0,00;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;25298086;1 FLACONE SOSPENSIONE PER USO ORALE 100 ML 8%;ZOVIRAX;GLAXOSMITHKLINE S.P.A.;  13,90;  21,23;  7,33;;26A
Aciclovir;25 UNITA' 200 MG - USO ORALE;J05AB01;32307011;"""200 MG COMPRESSE"" BLISTER 25 COMPRESSE";ACICLOVIR;EG S.P.A.;  11,29;  11,29;  0,00;;26B
Aciclovir;25 UNITA' 200 MG - USO ORALE;J05AB01;33410010;"""200"" ASTUCCIO 25 COMPRESSE USO ORALE 200 MG";ACICLOVIR;ALTERNA FARMACEUTICI S.R.L.;  11,29;  12,64;  1,35;;26B
Aciclovir;25 UNITA' 200 MG - USO ORALE;J05AB01;34070019;"""200 MG COMPRESSE"" 25 COMPRESSE";ACICLOVIR GERMED PHARMA;GERMED PHARMA S.P.A.;  11,29;  11,29;  0,00;;26B
Aciclovir;25 UNITA' 200 MG - USO ORALE;J05AB01;25299052;25 COMPRESSE 200 MG;CYCLOVIRAN;SIGMA-TAU INDUSTRIE FARMACEUTICHE RIUNITE S.P.A.;  11,29;  12,64;  1,35;;26B
Aciclovir;25 UNITA' 200 MG - USO ORALE;J05AB01;25298050;25 COMPRESSE 200 MG;ZOVIRAX;GLAXOSMITHKLINE S.P.A.;  11,29;  18,08;  6,79;;26B
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;28614055;"""400 MG COMPRESSE"" 25 COMPRESSE";ACICLIN;FIDIA FARMACEUTICI S.P.A.;  9,01;  9,01;  0,00;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;28467037;25 COMPRESSE 400 MG;ACICLOVIR;TEVA ITALIA S.R.L.;  9,01;  9,01;  0,00;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;32307023;"""400 MG COMPRESSE"" BLISTER 25 COMPRESSE";ACICLOVIR;EG S.P.A.;  9,01;  9,01;  0,00;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;33551021;25 COMPRESSE 400 MG;ACICLOVIR;DOC GENERICI S.R.L.;  9,01;  9,01;  0,00;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;33731011;"""400 MG COMPRESSE"" 25 COMPRESSE";ACICLOVIR;SANDOZ S.P.A.;  9,01;  9,01;  0,00;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;37290018;"""400 MG COMPRESSE"" 25 COMPRESSE";ACICLOVIR FIDIA;FIDIA FARMACEUTICI S.P.A.;  9,01;  9,01;  0,00;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;34070021;"""400 MG COMPRESSE"" 25 COMPRESSE";ACICLOVIR GERMED PHARMA;GERMED PHARMA S.P.A.;  9,01;  9,01;  0,00;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;34738031;"""400 MG COMPRESSE"" 25 COMPRESSE";ACICLOVIR MYLAN GENERICS;MYLAN S.P.A.;  9,01;  9,01;  0,00;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;32927030;25 COMPRESSE 400 MG;ACICLOVIR RANBAXY;RANBAXY ITALIA S.P.A.;  9,01;  9,01;  0,00;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;28920039;"""400 MG COMPRESSE"" 25 COMPRESSE";CIVRAL;PHARMABER S.R.L.;  9,01;  9,01;  0,00;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;25299076;25 COMPRESSE 400 MG;CYCLOVIRAN;SIGMA-TAU INDUSTRIE FARMACEUTICHE RIUNITE S.P.A.;  9,01;  11,01;  2,00;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;25298074;25 COMPRESSE 400 MG;ZOVIRAX;GLAXOSMITHKLINE S.P.A.;  9,01;  15,18;  6,17;;26C
Aciclovir;25 UNITA' 800 MG - USO ORALE;J05AB01;28425066;BLISTER 25 COMPRESSE 800 MG;NEVIRAN;S.F. GROUP S.R.L.;  36,41;  36,41;  0,00;;26D
Aciclovir;3 UNITA' 250 MG - USO PARENTERALE;J05AB01;33209014;"""250 MG POLVERE PER SOLUZIONE PER INFUSIONE ENDOVENOSA"" 3 FLACONI";SANAVIR;HOSPIRA ITALIA S.R.L.;  39,07;  46,60;  7,53;;26H
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;28614081;"""800 MG COMPRESSE"" 35 COMPRESSE";ACICLIN;FIDIA FARMACEUTICI S.P.A.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;28467064;"""800 MG"" BLISTER 35 COMPRESSE 800 MG USO ORALE";ACICLOVIR;TEVA ITALIA S.R.L.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;32307086;"""800 MG COMPRESSE"" 35 COMPRESSE";ACICLOVIR;EG S.P.A.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33551072;"""800 MG COMPRESSE"" 35 COMPRESSE";ACICLOVIR;DOC GENERICI S.R.L.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33731050;"""800 MG COMPRESSE"" 35 COMPRESSE";ACICLOVIR;SANDOZ S.P.A.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33482047;"""800 MG COMPRESSE"" 35 COMPRESSE";ACICLOVIR ABC;ABC FARMACEUTICI S.P.A.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;35853011;"""800 MG COMPRESSE"" 35 COMPRESSE";ACICLOVIR ACTAVIS;ACTAVIS GROUP PTC EHF;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33868011;"""800 MG COMPRESSE"" TUBO 35 COMPRESSE USO ORALE";ACICLOVIR ALMUS;ALMUS S.R.L.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;36110017;"""800 MG COMPRESSE"" 35 COMPRESSE";ACICLOVIR ALTER;LABORATORI ALTER S.R.L.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33410046;"""800 MG COMPRESSE"" 35 COMPRESSE";ACICLOVIR ALTERNA;ALTERNA FARMACEUTICI S.R.L.;  25,04;  31,59;  6,55;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;36035018;"""800 MG COMPRESSE"" 35 COMPRESSE";ACICLOVIR AUROBINDO;AUROBINDO PHARMA ITALIA S.R.L.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;37290020;"""800 MG COMPRESSE"" 35 COMPRESSE";ACICLOVIR FIDIA;FIDIA FARMACEUTICI S.P.A.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33429046;"""800 MG COMPRESSE"" 35 COMPRESSE";ACICLOVIR GERMED;GERMED PHARMA S.P.A.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;34738043;"""800 MG COMPRESSE"" 35 COMPRESSE";ACICLOVIR MYLAN GENERICS;MYLAN S.P.A.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;34583031;"""800 MG COMPRESSE"" 35 COMPRESSE";ACICLOVIR PENSA;PENSA PHARMA S.P.A.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;32927055;35 COMPRESSE 800 MG;ACICLOVIR RANBAXY;RANBAXY ITALIA S.P.A.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33471018;"""800 MG COMPRESSE"" 35 COMPRESSE";AMODIVYR;RO-FARM. DI SALVATORE DE MAIO & C. S.A.S.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;28619031;"""800 MG COMPRESSE"" 35 COMPRESSE";AVIX;I.BIR.N -ISTITUTO BIOTERAPICO NAZIONALE S.R.L.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;28528077;"""800 MG COMPRESSE"" 35 COMPRESSE";CITIVIR;LABORATORIO FARMACEUTICO C.T. S.R.L.;  25,04;  31,59;  6,55;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;25299126;35 COMPRESSE 800 MG;CYCLOVIRAN;SIGMA-TAU INDUSTRIE FARMACEUTICHE RIUNITE S.P.A.;  25,04;  29,04;  4,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;28242093;"""800 MG COMPRESSE"" 35 COMPRESSE";DRAVYR;LABORATORIO ITALIANO BIOCHIMICO FARMACEUTICO LISAPHARMA S.P.A.;  25,04;  27,56;  2,52;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;27534128;"""800 MG COMPRESSE"" 35 COMPRESSE";EFRIVIRAL;AESCULAPIUS FARMACEUTICI S.R.L.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;28338046;"""800 MG COMPRESSE"" 35 COMPRESSE";ESAVIR;CRINOS S.P.A.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;28425078;"""800 MG COMPRESSE"" 35 COMPRESSE";NEVIRAN;S.F. GROUP S.R.L.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;35005014;"""800 MG COMPRESSE"" 35 COMPRESSE";TUCLOR;A.T.F. FARMACEUTICI S.R.L.;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33943010;"""800 MG COMPRESSE"" 35 COMPRESSE";VORACLOR;GENERAL SERVICES SPAIN;  25,04;  25,04;  0,00;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;25298124;35 COMPRESSE 800 MG;ZOVIRAX;GLAXOSMITHKLINE S.P.A.;  25,04;  52,01;  26,97;;26E
Aciclovir;4,5 GRAMMI 3% - USO OFTALMICO UNGUENTO;S01AD03;28231025;"""30 MG/G UNGUENTO OFTALMICO"" TUBO 4,5 G";ACY;FARMIGEA S.P.A.;  5,53;  5,53;  0,00;;26F
Aciclovir;4,5 GRAMMI 3% - USO OFTALMICO UNGUENTO;S01AD03;25299049;"""3% UNGUENTO OFTALMICO"" TUBO DA 4,5 G";CYCLOVIRAN;SIGMA-TAU INDUSTRIE FARMACEUTICHE RIUNITE S.P.A.;  5,53;  6,70;  1,17;;26F
Aciclovir;4,5 GRAMMI 3% - USO OFTALMICO UNGUENTO;S01AD03;25298047;"""3% UNGUENTO OFTALMICO"" TUBO DA 4,5 G";ZOVIRAX;GLAXOSMITHKLINE S.P.A.;  5,53;  7,36;  1,83;;26F
Aciclovir;5 UNITA' 250 MG - USO PARENTERALE;J05AB01;33672027;"""250 MG POLVERE PER SOLUZIONE INIETTABILE""5 FIALE IV";ACICLOVIR RECORDATI;RECORDATI INDUSTRIA CHIMICA FARMACEUTICA S.P.A.;  67,52;  80,54;  13,02;;26I
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;42179010;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE GASTRORESISTENTI IN BLISTER PVC/AL";ACIDO ACETILSALICILICO DOC GENERICI;DOC GENERICI S.R.L.;  1,41;  1,41;  0,00;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;42180048;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL";ACIDO ACETILSALICILICO EG;EG S.P.A.;  1,41;  1,41;  0,00;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;42200016;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL";ACIDO ACETILSALICILICO SANDOZ;SANDOZ S.P.A.;  1,41;  1,41;  0,00;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;42207011;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL";ACIDO ACETILSALICILICO TEVA ITALIA;TEVA ITALIA S.R.L.;  1,41;  1,41;  0,00;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;24840074;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE";CARDIOASPIRIN;BAYER S.P.A.;  1,41;  2,35;  0,94;;H4B
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;41256227;70 MG COMPRESSE 4 COMPRESSE IN BLISTER PVC/ACLAR/AL;ACIDO ALENDRONICO AUROBINDO;AUROBINDO PHARMA ITALIA S.R.L.;  13,48;  15,37;  1,89;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37515018;"""70 MG COMPRESSE"" 4 COMPRESSE";ACIDO ALENDRONICO FG;FG S.R.L.;  13,48;  15,37;  1,89;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37443013;"""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE";ACIDO ALENDRONICO GERMED;GERMED PHARMA S.P.A.;  13,48;  13,48;  0,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;43119015;"""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE  IN BLISTER PVC/PVDC/AL";ACIDO ALENDRONICO TECNIGEN;TECNIGEN S.R.L.;  13,48;  13,48;  0,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37514015;"""70 MG COMPRESSE"" 4 COMPRESSE";ACIDO ALENDRONICO ZENTIVA;ZENTIVA ITALIA S.R.L.;  13,48;  13,48;  0,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;29053079;"""70"" 4 COMPRESSE BLISTER AL/AL DA 70 MG";ADRONAT;NEOPHARMED GENTILI S.R.L.;  13,48;  16,48;  3,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;38800025;"""70 MG COMPRESSE"" 4COMPRESSE";ALENDRONATO ACTAVIS;ACTAVIS GROUP PTC EHF;  13,48;  13,48;  0,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37499011;"""70 MG COMPRESSE"" 4 COMPRESSE";ALENDRONATO ALMUS;ALMUS S.R.L.;  13,48;  13,48;  0,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;38471025;"""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE IN BLISTER OPA/AL/PVC/AL";ALENDRONATO ALTER;LABORATORI ALTER S.R.L.;  13,48;  13,48;  0,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37520018;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC/AL";ALENDRONATO DOC GENERICI;DOC GENERICI S.R.L.;  13,48;  13,48;  0,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37194089;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";ALENDRONATO EG;EG S.P.A.;  13,48;  13,48;  0,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37198013;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PVDC/AL";ALENDRONATO MYLAN GENERICS;MYLAN S.P.A.;  13,48;  13,48;  0,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37085089;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";ALENDRONATO RATIOPHARM;RATIOPHARM GMBH;  13,48;  13,48;  0,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37295021;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";ALENDRONATO SANDOZ;SANDOZ S.P.A.;  13,48;  13,48;  0,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;38408023;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER OPA/AL/PVC/AL";ALENDRONATO SANDOZ GMBH;SANDOZ GMBH;  13,48;  13,48;  0,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;29051075;"""70"" 4 COMPRESSE BLISTER AL/AL DA 70 MG";ALENDROS;ABIOGEN PHARMA S.P.A.;  13,48;  15,37;  1,89;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37521010;"""70 MG COMPRESSE"" 4 COMPRESSE""";ALENIC;EPIFARMA S.R.L.;  13,48;  14,27;  0,79;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37444015;"""70 MG COMPRESSE"" 4 COMPRESSE";ASTON;BENEDETTI & CO. S.P.A.;  13,48;  13,48;  0,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37644010;"""70 MG COMPRESSE"" 4 COMPRESSE";DORYX;S.F. GROUP S.R.L.;  13,48;  13,48;  0,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;38031148;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PVC/AL";DRALENOS;ISTITUTO BIOCHIMICO NAZIONALE SAVIO S.R.L.;  13,48;  15,37;  1,89;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;29054071;"""70"" 4 COMPRESSE BLISTER AL/AL DA 70 MG";DRONAL;SIGMA-TAU INDUSTRIE FARMACEUTICHE RIUNITE S.P.A.;  13,48;  20,37;  6,89;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;29052077;"""70 MG COMPRESSE"" 4 COMPRESSE";FOSAMAX;MERCK SHARP & DOHME LTD;  13,48;  20,07;  6,59;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;34172054;"""70"" 4 COMPRESSE BLISTER AL/AL DA 70 MG";GENALEN;NEOPHARMED GENTILI S.R.L.;  13,48;  17,98;  4,50;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37500016;"""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE IN BLISTER OPA/AL/PVC/AL";GLAMOR;A.G.I.P.S. FARMACEUTICI S.R.L.;  13,48;  13,48;  0,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;38296012;"""70 MG COMPRESSE"" 4 COMPRESSE";LOSS;SO.SE.PHARM S.R.L.;  13,48;  13,48;  0,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;38649012;"""70 MG COMPRESSE"" 4COMPRESSE";NEADRALE;NEAPHARMA S.R.L.;  13,48;  15,37;  1,89;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;38297014;"""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE";NOFRATTIL;S.F. GROUP S.R.L.;  13,48;  13,48;  0,00;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37519016;"""70 MG COMPRESSE"" 4 COMPRESSE";PORODRON;PHARMEG S.R.L.;  13,48;  13,49;  0,01;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37461011;"""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE";REALEN;ISTITUTO CHIMICO INTERNAZIONALE DR.GIUSEPPE RENDE S.R.L.;  13,48;  13,48;  0,00;;CQA
Acido clodronico;10 UNITA' 400 MG - USO ORALE;M05BA02;26372058;10 CAPSULE 400 MG;CLASTEON;ABIOGEN PHARMA S.P.A.;  21,67;  26,17;  4,50;;38B
Acido clodronico;10 UNITA' 400 MG - USO ORALE;M05BA02;34721050;"""400 MG CAPSULE RIGIDE"" 10 CAPSULE";CLODRON;FIDIA FARMACEUTICI S.P.A.;  21,67;  26,17;  4,50;;38B
Acido clodronico;10 UNITA' 400 MG - USO ORALE;M05BA02;26510053;10 CAPSULE 400 MG;DIFOSFONAL;SOCIETA' PRODOTTI ANTIBIOTICI S.P.A.;  21,67;  26,17;  4,50;;38B
Acido clodronico;6 UNITA' 300 MG - USO PARENTERALE;M05BA02;26372033;6 FIALE 300 MG;CLASTEON;ABIOGEN PHARMA S.P.A.;  52,32;  63,18;  10,86;;38A
Acido clodronico;6 UNITA' 300 MG - USO PARENTERALE;M05BA02;35129030;"""300 MG/10 ML SOLUZIONE PER INFUSIONE ENDOVENOSA"" 6 FIALE";CLODRONATO ABC;ABC FARMACEUTICI S.P.A.;  52,32;  63,18;  10,86;;38A
